data_decisao,order_id,ativo,timeframe,direcao_entrada,valor_entrada,resultado,lucro,pnl_sessao,saldo_pos_trade
2025-12-13 22:39:00,20573568665,EURJPY-OTC,1,call,100.0,WIN,86.19,-13.81,10071.38
2025-12-13 23:01:00,20573603948,EURJPY-OTC,1,call,100.0,WIN,86.19,72.38,10157.57
2025-12-13 23:30:00,20573652587,EURJPY-OTC,1,put,100.0,WIN,86.17,158.55,10243.74
2025-12-14 00:01:00,20573704363,EURJPY-OTC,1,put,100.0,LOSS,-100.0,58.55,10143.74
2025-12-14 00:51:00,20573786628,EURJPY-OTC,1,put,100.0,WIN,86.17,144.72,10229.91
2025-12-14 19:16:00,20575540256,EURJPY-OTC,1,call,100.0,LOSS,-100.0,-100.0,10129.91
2025-12-14 20:09:00,20575639276,EURJPY-OTC,1,put,100.0,WIN,86.17,-13.83,10216.08
2025-12-14 20:55:00,20575720666,EURJPY-OTC,1,put,100.0,LOSS,-100.0,-113.83,10116.08
2025-12-14 23:19:00,20575963149,EURJPY-OTC,1,call,100.0,LOSS,-100.0,-213.83,10016.08
2025-12-14 23:59:00,20576021777,EURJPY-OTC,1,call,100.0,WIN,85.19,-128.64,10101.27
2025-12-15 01:17:00,20576138559,EURJPY-OTC,1,put,100.0,WIN,85.17,85.17,10186.44
2025-12-15 03:52:00,20576398524,EURJPY-OTC,1,put,100.0,WIN,86.17,86.17,10272.61
2025-12-15 06:05:00,20576580153,EURJPY-OTC,1,put,100.0,WIN,87.21,173.38,10359.82
2025-12-15 06:20:00,20576599911,EURJPY-OTC,1,put,100.0,WIN,87.21,260.59,10447.03
2025-12-15 07:13:00,20576673046,EURJPY-OTC,1,put,100.0,WIN,87.21,347.8,10534.24
2025-12-15 07:40:00,20576705547,EURJPY-OTC,1,put,100.0,WIN,87.21,435.01,10621.45
2025-12-15 08:21:00,20576758613,EURJPY-OTC,1,call,100.0,WIN,87.24,522.25,10708.69
2025-12-15 08:35:00,20576775734,EURJPY-OTC,1,call,100.0,WIN,87.24,609.49,10795.93
2025-12-15 09:15:00,20576823707,EURJPY-OTC,1,call,100.0,WIN,87.24,696.73,10883.17
2025-12-15 09:44:00,20576860628,EURJPY-OTC,1,call,100.0,WIN,86.19,782.92,10969.36
2025-12-15 10:06:00,20576891818,EURJPY-OTC,1,call,100.0,WIN,86.19,869.11,11055.55
2025-12-15 10:40:00,20576939582,EURJPY-OTC,1,call,100.0,LOSS,-100.0,769.11,10955.55
2025-12-15 11:25:00,20577007924,EURJPY-OTC,1,put,100.0,LOSS,-100.0,669.11,10855.55
2025-12-15 11:51:00,20577051705,EURJPY-OTC,1,put,100.0,LOSS,-100.0,569.11,10755.55
2025-12-15 11:54:00,20577056569,EURJPY-OTC,1,call,100.0,WIN,86.19,655.3,10841.74
2025-12-15 12:00:00,20577066702,EURJPY-OTC,1,put,100.0,WIN,86.17,741.47,10927.91
2025-12-15 14:34:00,20577407291,EURJPY-OTC,1,call,100.0,LOSS,-100.0,-100.0,10827.91
2025-12-15 14:59:00,20577466193,EURJPY-OTC,1,call,100.0,WIN,86.19,-13.81,10914.1
2025-12-15 15:37:00,20577557009,EURJPY-OTC,1,call,100.0,LOSS,-100.0,-113.81,10814.1
2025-12-15 16:27:00,20577675211,EURJPY-OTC,1,put,100.0,WIN,86.17,-27.64,10900.27
2025-12-15 18:08:00,20577902178,EURJPY-OTC,1,put,100.0,WIN,86.17,58.53,10986.44
2025-12-15 18:16:00,20577918702,EURJPY-OTC,1,call,100.0,WIN,86.19,144.72,11072.63
2025-12-15 18:35:00,20577963545,EURJPY-OTC,1,call,100.0,LOSS,-100.0,44.72,10972.63
2025-12-15 18:47:00,20577988545,EURJPY-OTC,1,call,100.0,WIN,86.19,130.91,11058.82
2025-12-15 21:15:00,20578256126,EURJPY-OTC,1,put,100.0,LOSS,-100.0,-100.0,10958.82
2025-12-15 22:15:00,20578348615,EURJPY-OTC,1,call,100.0,LOSS,-100.0,-200.0,10858.82
2025-12-15 22:26:00,20578368629,EURJPY-OTC,1,call,100.0,LOSS,-100.0,-300.0,10758.82
2025-12-15 23:30:00,20578474424,EURJPY-OTC,1,put,100.0,WIN,86.17,86.17,10844.99
2025-12-16 01:08:00,20578643325,EURJPY-OTC,1,call,100.0,WIN,86.19,172.36,10931.18
2025-12-16 01:27:00,20578675675,EURJPY-OTC,1,call,100.0,WIN,86.19,258.55,11017.37
2025-12-16 02:17:00,20578763831,EURJPY-OTC,1,call,100.0,WIN,86.19,344.74,11103.56
2025-12-16 05:08:00,20579049502,EURJPY-OTC,1,put,100.0,WIN,85.17,429.91,11188.73
2025-12-16 05:50:00,20579105205,EURJPY-OTC,1,call,100.0,WIN,85.19,515.1,11273.92
2025-12-16 07:14:00,20579213707,EURJPY-OTC,1,put,100.0,WIN,85.17,600.27,11359.09
2025-12-16 07:23:00,20579224246,EURJPY-OTC,1,put,100.0,LOSS,-100.0,500.27,11259.09
2025-12-16 07:59:00,20579269358,EURJPY-OTC,1,put,100.0,LOSS,-100.0,400.27,11159.09
2025-12-16 09:38:00,20579386933,EURJPY-OTC,1,call,100.0,WIN,85.19,485.46,11244.28
2025-12-16 10:22:00,20579445461,EURJPY-OTC,1,put,100.0,WIN,85.17,570.63,11329.45
2025-12-16 11:38:00,20579556469,EURJPY-OTC,1,put,100.0,WIN,85.17,655.8,11414.62
2025-12-16 12:26:00,20579643095,EURJPY-OTC,1,call,100.0,LOSS,-100.0,555.8,11314.62
2025-12-16 12:33:00,20579656552,EURJPY-OTC,1,call,100.0,WIN,85.19,640.99,11399.81
2025-12-16 15:30:00,20580040290,EURJPY-OTC,1,call,100.0,LOSS,-100.0,540.99,11299.81
2025-12-16 17:31:00,20580303854,EURJPY-OTC,1,call,100.0,WIN,85.19,626.18,11385
2025-12-17 01:27:00,20581099429,EURJPY-OTC,1,put,100.0,LOSS,-100.0,-100.0,11285
2025-12-17 03:08:00,20581272228,EURJPY-OTC,1,put,100.0,WIN,85.17,85.17,11370.17
2025-12-17 03:24:00,20581297889,EURJPY-OTC,1,put,100.0,WIN,85.17,170.34,11455.34
2025-12-17 03:39:00,20581322799,EURJPY-OTC,1,put,100.0,WIN,85.17,255.51,11540.51
2025-12-17 07:48:00,20581676820,EURJPY-OTC,1,call,100.0,WIN,85.19,340.7,11625.7
2025-12-17 08:31:00,20581731194,EURJPY-OTC,1,call,100.0,WIN,85.19,425.89,11710.89
2025-12-17 08:34:00,20581734762,EURJPY-OTC,1,put,100.0,LOSS,-100.0,325.89,11610.89
2025-12-17 08:39:00,20581740015,EURJPY-OTC,1,call,100.0,WIN,85.19,411.08,11696.08
2025-12-17 09:52:00,20581831825,EURJPY-OTC,1,call,100.0,WIN,85.19,496.27,11781.27
2025-12-17 10:55:00,20581926215,EURJPY-OTC,1,call,100.0,WIN,85.19,581.46,11866.46
2025-12-17 12:38:00,20582104355,EURJPY-OTC,1,call,100.0,LOSS,-100.0,481.46,11766.46
2025-12-17 13:12:00,20582169361,EURJPY-OTC,1,put,100.0,LOSS,-100.0,381.46,11666.46
2025-12-17 14:19:00,20582323325,EURJPY-OTC,1,put,100.0,WIN,85.17,466.63,11751.63
2025-12-17 14:33:00,20582359807,EURJPY-OTC,1,put,100.0,WIN,85.17,551.8,11836.8
2025-12-17 16:46:00,20582672137,EURJPY-OTC,1,put,100.0,LOSS,-100.0,451.8,11736.8
2025-12-17 18:13:00,20582844868,EURJPY-OTC,1,call,100.0,WIN,85.19,536.99,11821.99
